Year,Title,Subject,Actor,Actress,Director
1971,"People, The",Drama,"Shatner, William","Darby, Kim","Coppola, Francis Ford"
1969,True Grit,Western,"Wayne, John","Darby, Kim","Hathaway, Henry"
1942,"Battle of Midway, The",War,"Crisp, Donald","Darwell, Jane","Ford, John"
1948,Three Godfathers,Western,"Wayne, John","Darwell, Jane","Ford, John"
1965,"Hush, Hush, Sweet Charlotte",Mystery,"Cotten, Joseph","Davis, Bette","Aldrich, Robert"
1946,A Stolen Life,Drama,"Ford, Glenn","Davis, Bette","Bernhardt, Curtis"
1939,"Old Maid, The",Drama,"Brent, George","Davis, Bette","Goulding, Edmund"
1950,All about Eve,Drama,"Sanders, George","Davis, Bette","Mankiewicz, Joseph L."
1986,"Fly, The",Horror,"Goldblum, Jeff","Davis, Geena","Cronenberg, David"
1990,Quick Change,Comedy,"Murray, Bill","Davis, Geena","Franklin, Howard "
1988,"Lair of the White Worm, The",Horror,"Grant, Hugh","Davis, Sammi","Russell, Ken"
1989,"Rainbow, The",Drama,"Hemmings, David","Davis, Sammi","Russell, Ken"
1956,"Man Who Knew Too Much, The",Mystery,"Stewart, James","Day, Doris","Hitchcock, Alfred"
1992,Beauty & the Beast,Science Fiction,"Marais, Jean","Day, Josette","Cocteau, Jean"
1940,Foreign Correspondent,Mystery,"McCrea, Joel","Day, Laraine","Hitchcock, Alfred"
1949,"Heiress, The",Drama,"Richardson, Ralph","De Havilland, Olivia","Wyler, William"
1986,"Boy Who Could Fly, The",Drama,"Underwood, Jay","Deakins, Lucy","Castle, Nick"
1975,"Terrorists, The",Action,"Connery, Sean","Dean, Isabel","Wrede, Caspar"
1942,Wheel of Fortune,Drama,"Wayne, John","Dee, Frances","Auer, John H."
1989,Do the Right Thing,Drama,"Aiello, Danny","Dee, Ruby","Lee, Spike"
1990,"Court-Martial of Jackie Robinson, The",Drama,"Braugher, Andre","Dee, Ruby","Peerce, Larry"
1967,Elvira Madigan,Drama,"Berggren, Thommy","Degermark, Pia","Widerberg, Bo"
1992,Hurricane Smith,Action,"Weathers, Carl","Delaney, Cassandra","Budds, Colin"
1987,Fair Game,Action,"Ford, Peter","Delaney, Cassandra",
1989,"Rape of the Sabines, The",Action,"Moore, Roger","Demongeot, Mylene",
1983,Risky Business,Comedy,"Cruise, Tom","DeMornay, Rebecca","Brickman, Paul"
1980,I Love All of You (Je Vous Aime),Drama,"Depardieu, Gérard","Deneuve, Catherine","Berri, Claude"
1986,Love Songs,Drama,"Lambert, Christopher","Deneuve, Catherine","Chouraqui, Elie"
1983,Le Choix des Armes,Mystery,"Montand, Yves","Deneuve, Catherine","Comeau, Alain"
1981,Choice of Arms,Action,"Montand, Yves","Deneuve, Catherine","Corneau, Alan"
1977,March or Die,War,"Hackman, Gene","Deneuve, Catherine","Richards, Dick"
1980,"Last Metro, The",Drama,"Depardieu, Gérard","Deneuve, Catherine","Truffaut, François"
1986,Jean de Florette,Drama,"Montand, Yves","Depardieu, Elizabeth","Berri, Claude"
1989,Fat Man & Little Boy,Drama,"Newman, Paul","Dern, Laura","Joffe, Roland"
1990,Wild at Heart,Drama,"Cage, Nicolas","Dern, Laura","Lynch, David"
1989,Family Business,Action,"Connery, Sean","DeSoto, Rosana","Lumet, Sidney"
1988,Stand & Deliver,Drama,"Olmos, Edward James","DeSoto, Rosana","Menendez, Ramon"
1981,Looker,Science Fiction,"Finney, Albert","Dey, Susan","Crichton, Michael"
1989,Fire & Rain,Action,"Haid, Charles","Dickinson, Angie","Jameson, Jerry"
1990,"Best of Candid Camera, The",Comedy,"Allen, Woody","Dickinson, Angie",
1940,Seven Sinners,Drama,"Wayne, John","Dietrich, Marlene","Garnett, Tay"
1961,Judgment at Nuremberg,Drama,"Tracy, Spencer","Dietrich, Marlene","Kramer, Stanley"
1989,Minsky's Follies,Comedy,"Taylor, Rip","Diller, Phyllis",
1990,"Novice, The",Comedy,"Sharif, Omar","Dombasle, Arielle",
1987,Wings of Desire,Drama,"Ganz, Bruno","Dommartin, Solveig","Wenders, Wim"
1991,Until the End of the World,Drama,"Hurt, William","Dommartin, Solveig","Wenders, Wim"
1987,Castaway,Drama,"Reed, Oliver","Donohoe, Amanda","Roeg, Nicolas"
1993,"Alfred Hitchcock Presents, Sorcerer's Apprentice",Mystery,"Hitchcock, Alfred","Dors, Diana",
1991,Delicatessen,Comedy,"Benezech, Pascal","Dougnac, Marie-Laure","Caro, Marc"
1979,"Great Train Robbery, The",Mystery,"Connery, Sean","Down, Lesley-Anne","Crichton, Michael"
1991,Hanover Street,Drama,"Ford, Harrison","Down, Lesley-Anne","Hyams, Peter"
1991,Hunchback,Drama,"Hopkins, Anthony","Down, Lesley-Anne","Tuchner, Michael"
1946,My Darling Clementine,Western,"Fonda, Henry","Downs, Cathy","Ford, John"
1950,Wagon Master,Western,"Johnson, Ben","Dru, Joanne","Ford, John"
1949,She Wore a Yellow Ribbon,Western,"Wayne, John","Dru, Joanne","Ford, John"
1985,Fantasy Man,Comedy,"Hopkins, Harold","Drynan, Jeanie","Meagher, John"
1986,Monster in the Closet,Comedy,"Grant, Donald","DuBarry, Denise","Dahlin, Bob"
1992,Double Edge,Drama,"Eban, Abba","Dunaway, Faye","Kollek, Amos"
1976,Network,Comedy,"Finch, Peter","Dunaway, Faye","Lumet, Sidney"
1974,Chinatown,Drama,"Nicholson, Jack","Dunaway, Faye","Polanski, Roman"
1975,Three Days of the Condor,Drama,"Redford, Robert","Dunaway, Faye","Pollack, Sydney"
1977,Voyage of the Damned,Drama,"Sydow, Max von","Dunaway, Faye","Rosenberg, Stuart"
1987,Barfly,Drama,"Rourke, Mickey","Dunaway, Faye","Schroeder, Barbet"
1990,"Wait Until Spring, Bandini",Drama,"Mantegna, Joe","Dunaway, Faye",
1947,Life with Father,Comedy,"Powell, William","Dunne, Irene","Curtiz, Michael"
1943,A Guy Named Joe,Drama,"Tracy, Spencer","Dunne, Irene","Fleming, Victor"
1974,Stavisky,Drama,"Belmondo, Jean-Paul","Duperey, Anny","Resnais, Alain"
1981,Time Bandits,Comedy,"Cleese, John","Duvall, Shelley","Gilliam, Terry"
1980,"Shining, The",Horror,"Nicholson, Jack","Duvall, Shelley","Kubrick, Stanley"
1945,Flame of Barbary Coast,Western,"Wayne, John","Dvorak, Ann","Kane, Joseph"
1993,"Naked Truth, The",Comedy,"Sellers, Peter","Eaton, Shirley",
1979,"Brood, The",Horror,"Reed, Oliver","Eggar, Samantha","Cronenberg, David"
1970,"Molly Maguires, The",Action,"Connery, Sean","Eggar, Samantha","Ritt, Martin"
1984,Beverly Hills Cop,Comedy,"Murphy, Eddie","Eilbacher, Lisa","Brest, Martin"
1991,Blind Man's Bluff,Mystery,"Urich, Robert","Eilbacher, Lisa","Quinn, James"
1961,La Dolce Vita,Drama,"Mastroianni, Marcello","Ekberg, Anita","Fellini, Federico"
1966,After the Fox,Comedy,"Sellers, Peter","Ekland, Britt","De Sica, Vittorio"
1974,"Man with the Golden Gun, The",Action,"Moore, Roger","Ekland, Britt","Hamilton, Guy"
1985,Marbella,Action,"Taylor, Rod","Ekland, Britt","Hermoso, Miguel"
1967,"Bobo, The",Comedy,"Sellers, Peter","Ekland, Britt","Parrish, Robert"
1993,"Big Bands, The",Music,"Beneke, Tex","Elgart, Les",
1992,Killer Image.,Mystery,"Ironside, Michael","Errickson, Krista","Winning, David"
1987,Kandyland,Drama,"Laulette, Charles","Evenson, Kim","Schnitzer, Robert Allen"
1987,Campus Man,Drama,"Dye, John","Fairchild, Morgan","Casden, Ron"
1956,Jubal,Drama,"Ford, Glenn","Farr, Felicia","Daves, Delmer"
1985,"Purple Rose of Cairo, The",Comedy,"Aiello, Danny","Farrow, Mia","Allen, Woody"
1984,Broadway Danny Rose,Comedy,"Allen, Woody","Farrow, Mia","Allen, Woody"
1992,Husbands & Wives,Comedy,"Allen, Woody","Farrow, Mia","Allen, Woody"
1986,Hannah & Her Sisters,Comedy,"Caine, Michael","Farrow, Mia","Allen, Woody"
1979,Hurricane,Action,"Robards, Jason","Farrow, Mia","Troell, Jan"
1986,Between Two Women,Drama,"Nouri, Michael","Fawcett, Farrah","Avnet, John"
1981,"Cannonball Run, The",Comedy,"Reynolds, Burt","Fawcett, Farrah","Needham, Hal"
1936,Doughnuts & Society,Comedy,"Nugent, Eddie","Fazenda, Louise","Collins, Lewis D."
1978,Holocaust,Drama,"Bottoms, Joseph","Feldshuh, Tovah","Chomsky, Marvin J."
1990,Meridian,Science Fiction,"Jamieson, Malcolm","Fenn, Sherilyn","Band, Charles"
1992,Diary of a Hitman,Drama,"Whitaker, Forest","Fenn, Sherilyn","London, Roy"
1988,Gor,Action,"Reed, Oliver","Ferratti, Rebecca","Kiersch, Fritz"
1987,Surrender,Comedy,"Caine, Michael","Field, Sally","Belson, Jerry"
1984,Places in the Heart,Drama,"Harris, Ed","Field, Sally","Benton, Robert"
1991,Not Without My Daughter,Drama,"Molina, Alfred","Field, Sally","Gilbert, Brian"
1977,Heroes,Drama,"Winkler, Henry","Field, Sally","Kagan, Jeremy Paul"
1981,Absence of Malice,Drama,"Newman, Paul","Field, Sally","Pollack, Sydney"
1979,Norma Rae,Drama,"Bridges, Beau","Field, Sally","Ritt, Martin"
1989,Steel Magnolias,Drama,"Skerritt, Tom","Field, Sally","Ross, Herbert"
1989,"Burbs, The",Comedy,"Hanks, Tom","Fisher, Carrie","Dante, Joe"
1980,"Empire Strikes Back, The",Science Fiction,"Hamill, Mark","Fisher, Carrie","Kershner, Irvin"
1977,Star Wars,Science Fiction,"Hamill, Mark","Fisher, Carrie","Lucas, George"
1983,Return of the Jedi,Science Fiction,"Hamill, Mark","Fisher, Carrie","Marquand, Richard"
1991,Hear My Song,Drama,"Dunbar, Adrian","Fitzgerald, Tara","Chelsom, Peter"
1956,Slightly Scarlet,Action,"Payne, John","Fleming, Rhonda","Dwan, Allan"
1957,Gunfight at the OK Corral,Western,"Lancaster, Burt","Fleming, Rhonda","Sturges, John"
1931,"Range Feud, The",Western,"Wayne, John","Fleming, Susan","Lederman, Ross"
1990,Bloodsucking Pharaohs in Pittsburgh,Comedy,"Dengel, Jake","Fletcher, Suzanne","Smithey, Alan"
1972,Roma,Drama,"Gonzales, Peter","Florence, Fiona","Fellini, Federico"
1979,"China Syndrome, The",Drama,"Douglas, Michael","Fonda, Jane","Bridges, James"
1986,"Morning After, The",Mystery,"Bridges, Jeff","Fonda, Jane","Lumet, Sidney"
1971,Klute,Drama,"Sutherland, Donald","Fonda, Jane","Pakula, Alan J."
1979,"Electric Horseman, The",Comedy,"Redford, Robert","Fonda, Jane","Pollack, Sydney"
1965,Cat Ballou,Comedy,"Marvin, Lee","Fonda, Jane","Silverstein, Elliot"
1991,Coming Home,Drama,"Voight, Jon","Fonda, Jane",
1940,Rebecca,Drama,"Olivier, Laurence","Fontaine, Joan","Hitchcock, Alfred"
1944,Jane Eyre,Drama,"Welles, Orson","Fontaine, Joan","Stevenson, Robert"
1973,Stacey!,Action,"Randall, Anne","Ford, Anitra","Sidaris, Andy"
1992,Naked Obsession,Mystery,"Katt, William","Ford, Maria","Golden, Dan"
1989,"Stripped to Kill II, Live Girls",Mystery,"Lottimer, Ed","Ford, Maria","Ruben, Katt Shea"
1990,"Rain Killer, The",Mystery,"Sharkey, Ray","Ford, Maria","Stein, Ken"
1983,Valley Girl,Comedy,"Cage, Nicolas","Foreman, Deborah","Coolidge, Martha"
1991,"Silence of the Lambs, The",Mystery,"Hopkins, Anthony","Foster, Jodie","Demme, Jonathan"
1988,Stealing Home,Drama,"Harmon, Mark","Foster, Jodie","Kampmann, Steven "
1972,Napoleon & Samantha,Comedy,"Douglas, Michael","Foster, Jodie","McEveety, Bernard"
1988,Five Corners,Drama,"Robbins, Tim","Foster, Jodie",
1955,"Blackboard Jungle, The",Drama,"Ford, Glenn","Francis, Anne","Brooks, Richard"
1989,My Left Foot,Drama,"Day-Lewis, Daniel","Fricker, Brenda","Sheridan, Jim"
1987,Back to the Beach,Comedy,"Avalon, Frankie","Funicello, Annette","Hobbs, Lyndall"
1934,"Painted Veil, The",Drama,"Marshall, Herbert","Garbo, Greta","Boleslawski, Richard"
1931,Inspiration,Drama,"Apfel, Oscar","Garbo, Greta","Brown, Clarence"
1930,Anna Christie,Drama,"Bickford, Charles","Garbo, Greta","Brown, Clarence"
1926,"Flesh & the Devil, The",Drama,"Gilbert, John","Garbo, Greta","Brown, Clarence"
1928,Woman of Affairs,Drama,"Gilbert, John","Garbo, Greta","Brown, Clarence"
1935,Anna Karenina,Drama,"March, Fredric","Garbo, Greta","Brown, Clarence"
1936,Camille,Drama,"Taylor, Robert","Garbo, Greta","Cukor, George"
1931,Mata Hari,Drama,"Novarro, Ramon","Garbo, Greta","Fitzmaurice, George"
1929,Wild Orchids,Drama,"Stone, Lewis","Garbo, Greta","Franklin, Sidney"
1932,Grand Hotel,Drama,"Barrymore, John","Garbo, Greta","Goulding, Edmund"
1931,"Susan Lennox, Her Fall & Rise",Drama,"Hale, Alan","Garbo, Greta","Leonard, Robert Z."
1939,Ninotchka,Comedy,"Douglas, Melvyn","Garbo, Greta","Lubitsch, Ernst"
1933,Queen Christina,Drama,"Gilbert, John","Garbo, Greta","Mamoulian, Rouben"
1928,"Mysterious Lady, The",Drama,"Nagel, Conrad","Garbo, Greta","Niblo, Fred"
1925,Joyless Street,Drama,"Stuart, Henry","Garbo, Greta","Pabst, Georg Wilhelm"
1929,"Single Standard, The",Drama,"Asther, Nils","Garbo, Greta","Robertson, John S."
1932,As You Desire Me,Drama,"Douglas, Melvyn","Garbo, Greta",
1930,Romance,Drama,"Stone, Lewis","Garbo, Greta",
1962,A Child Is Waiting,Drama,"Lancaster, Burt","Garland, Judy","Cassavetes, John"
1982,Tootsie,Comedy,"Hoffman, Dustin","Garr, Teri","Pollack, Sydney"
1989,Let It Ride,Comedy,"Dreyfuss, Richard","Garr, Teri","Pytka, Joe"
1953,Julius Caesar,Drama,"Brando, Marlon","Garson, Greer","Mankiewicz, Joseph L."
1979,Nineteen Forty-One,Comedy,"Belushi, John","Gary, Lorraine","Spielberg, Steven"
1975,Jaws,Action,"Scheider, Roy","Gary, Lorraine","Spielberg, Steven"
1987,Hot Pursuit,Drama,"Cusack, John","Gazelle, Wendy","Lisberger, Steven"
1989,Triumph of the Spirit,Drama,"Dafoe, Willem","Gazelle, Wendy","Young, Robert M."
1975,Brannigan,Drama,"Wayne, John","Geeson, Judy","Hickox, Douglas"
1979,Buffet Froid,Comedy,"Depardieu, Gérard","Gence, Denise","Blier, Bertrand"
1986,Salvador,Drama,"Woods, James","Gibb, Cynthia","Stone, Oliver"
1959,"Horse Soldiers, The",Western,"Wayne, John","Gibson, Althea","Ford, John"
1954,Long John Silver,Action,"Newton, Robert","Gilchrist, Connie","Haskin, Byron"
1961,"Hustler, The",Drama,"Newman, Paul","Gleason, Jackie","Rossen, Robert"
1983,"Star Chamber, The",Drama,"Douglas, Michael","Gless, Sharon","Hyam, Peter"
1988,Clara's Heart,Drama,"Ontkean, Michael","Goldberg, Whoopi","Mulligan, Robert"
1987,Burglar,Comedy,"Goldthwait, Bob","Goldberg, Whoopi","Wilson, Hugh"
1986,Comic Relief,Comedy,"Crystal, Billy","Goldberg, Whoopi",
1978,Bloodbrothers,Drama,"Sorvino, Paul","Goldoni, Lelia","Mulligan, Robert"
1988,Rain Man,Drama,"Hoffman, Dustin","Golino, Valeria","Levinson, Barry"
1966,Masculine Feminine,Drama,"Leaud, Jean-Pierre","Goya, Chantal","Godard, Jean-Luc"
1964,"Outer Limits, The",Science Fiction,"Perrin, Vic","Grahame, Gloria","Stanley, Paul"
1988,Mama's Dirty Girls,Horror,"Currie, Sondra","Grahame, Gloria",
1979,"Last Ride of the Dalton Gang, The",Western,"Palance, Jack","Greenbush, Lindsay","Curtis, Dan"
1991,Why Me?,Comedy,"Lambert, Christopher","Greist, Kim",
1932,Number Seventeen,Crime,"Lion, Leon M.","Grey, Anne","Hitchcock, Alfred"
1986,Manhunter,Drama,"Petersen, William L.","Griest, Kim","Mann, Michael"
1990,"Bonfire of the Vanities, The",Drama,"Hanks, Tom","Griffith, Melanie","De Palma, Brian"
1988,Working Girl,Comedy,"Ford, Harrison","Griffith, Melanie","Nichols, Mike"
1992,Shining Through,Mystery,"Douglas, Michael","Griffith, Melanie","Seltzer, David"
1991,Slumber Party Massacre III,Horror,"Christian, Keely","Grye, Brittain",
1988,Tokyo Pop,Comedy,"Tadokoro, Yutaka","Hamilton, Carrie","Kuzui, Fran Rubel"
1991,Terminator 2,Action,"Schwarzenegger, Arnold","Hamilton, Linda","Cameron, James"
1984,"Terminator, The",Action,"Schwarzenegger, Arnold","Hamilton, Linda","Cameron, James"
1986,King Kong Lives!,Action,"Kerwin, Brian","Hamilton, Linda","Guillermin, John"
1969,Those Daring Young Men in Their Jaunty,Comedy,"Curtis, Tony","Hampshire, Susan",
1991,At Play in the Fields of the Lord,Drama,"Berenger, Tom","Hannah, Daryl","Babenco, Hector"
1990,Crazy People,Comedy,"Moore, Dudley","Hannah, Daryl","Bill, Tony"
1992,Memoirs of an Invisible Man,Comedy,"Chase, Chevy","Hannah, Daryl","Carpenter, John"
1985,"Clan of the Cave Bear, The",Drama,"Remar, James","Hannah, Daryl","Chapman, Michael"
1983,"Final Terror, The",Horror,"Zmed, Adrian","Hannah, Daryl","Davis, Andrew"
1984,Reckless,Drama,"Quinn, Aidan","Hannah, Daryl","Foley, James"
1989,High Spirits,Comedy,"O'Toole, Peter","Hannah, Daryl","Jordan, Neil"
1987,Roxanne,Comedy,"Martin, Steve","Hannah, Daryl","Schepisi, Fred"
1982,Blade Runner,Action,"Ford, Harrison","Hannah, Daryl","Scott, Ridley"
1987,Wall Street,Drama,"Douglas, Michael","Hannah, Daryl","Stone, Oliver"
1992,Pope of Greenwich Village,Drama,"Rourke, Mickey","Hannah, Daryl",
1989,After School,Drama,"Bottoms, Sam","Hannah, Page",
1938,Flaming Frontiers,Western,"Brown, Johnny Mack","Hansen, Eleanor","Taylor, Ray"
1936,Libeled Lady,Comedy,"Powell, William","Harlow, Jean","Conway, Jack"
1976,Inserts,Drama,"Dreyfuss, Richard","Harper, Jessica","Byrum, John"
1988,"Blue Iguana, The",Drama,"McDermott, Dylan","Harper, Jessica","Lafia, John"
1983,Tender Mercies,Drama,"Duvall, Robert","Harper, Tess","Beresford, Bruce"
1987,Nights in White Satin,Drama,"Gilman, Kenneth","Harris, Priscilla","Barnard, Michael"
1989,Videodrome,Horror,"Woods, James","Harry, Deborah","Cronenberg, David"
1991,Intimate Stranger,Mystery,"Russo, James","Harry, Deborah","Holzman, Allan"
1986,Highlander,Science Fiction,"Lambert, Christopher","Hart, Roxanne","Mulcahy, Russell"
1987,Bodycount,Action,"White, Bernie","Hassett, Marilyn",
1989,Tango & Cash,Action,"Stallone, Sylvester","Hatcher, Teri","Konchalovsky, Andrei"
1970,There's a Girl in My Soup,Comedy,"Sellers, Peter","Hawn, Goldie","Boulting, Roy"
1984,Swing Shift,Drama,"Russell, Kurt","Hawn, Goldie","Demme, Jonathan"
1978,Foul Play,Comedy,"Chase, Chevy","Hawn, Goldie","Higgins, Colin"
1982,Best Friends,Comedy,"Reynolds, Burt","Hawn, Goldie","Jewison, Norman"
1972,Butterflies Are Free,Drama,"Albert, Edward","Hawn, Goldie","Katselas, Milton"
1987,Overboard,Comedy,"Russell, Kurt","Hawn, Goldie","Marshall, Garry"
1974,"Girl from Petrovka, The",Drama,"Holbrook, Hal","Hawn, Goldie","Miller, Robert Ellis"
1992,Housesitter,Comedy,"Martin, Steve","Hawn, Goldie","Oz, Frank"
1986,Wildcats,Comedy,"Keach, James","Hawn, Goldie","Ritchie, Michael"
1984,Protocol,Comedy,"Sarandon, Chris","Hawn, Goldie","Ross, Herbert"
1980,Seems Like Old Times,Comedy,"Chase, Chevy","Hawn, Goldie","Sandrich, Jay"
1974,"Sugarland Express, The",Drama,"Johnson, Ben","Hawn, Goldie","Spielberg, Steven"
1980,Private Benjamin,Comedy,"Assante, Armand","Hawn, Goldie","Zieff, Howard"
1991,Deceived,Mystery,"Heard, John","Hawn, Goldie",
1931,Arrowsmith,Drama,"Colman, Ronald","Hayes, Helen","Ford, John"
1972,Say Goodbye Maggie Cole,Drama,"McGavin, Darren","Hayward, Susan","Taylor, Jud"
1964,Circus World,Drama,"Wayne, John","Hayworth, Rita","Hathaway, Henry"
1952,Affair in Trinidad,Drama,"Ford, Glenn","Hayworth, Rita","Sherman, Vincent"
1948,Lady from Shanghai,Mystery,"Welles, Orson","Hayworth, Rita","Welles, Orson"
1940,Lady in Question,Drama,"Aherne, Brian","Hayworth, Rita","Vidor, Charles"
1946,Gilda,Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles"
1948,"Loves of Carmen, The",Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles"
1990,Dick Tracy,Comedy,"Beatty, Warren","Headley, Glenne","Beatty, Warren"
1964,Marnie,Drama,"Connery, Sean","Hedren, Tippi","Hitchcock, Alfred"
1987,Hot Child in the City,Mystery,"Prysirr, Geof","Hendrix, Leah Ayres","Florea, John"
1984,Johnny Dangerously,Comedy,"Piscopo, Joe","Henner, Marilu","Heckerling, Amy"
1985,Stark,Mystery,"Surovy, Nicolas","Henner, Marilu","Holcomb, Rod"
1949,Three Strange Loves,Drama,"Malmsten, Birger","Henning, Eva","Bergman, Ingmar"
1964,My Fair Lady,Music,"Harrison, Rex","Hepburn, Audrey","Cukor, George"
1960,"Unforgiven, The",Drama,"Lancaster, Burt","Hepburn, Audrey","Huston, John"
1976,Robin & Marian,Action,"Connery, Sean","Hepburn, Audrey","Lester, Richard"
1961,"Children's Hour, The",Drama,"Garner, James","Hepburn, Audrey","Wyler, William"
1956,"Rainmaker, The",Drama,"Lancaster, Burt","Hepburn, Katharine","Anthony, Joseph"
1952,Pat & Mike,Comedy,"Tracy, Spencer","Hepburn, Katharine","Cukor, George"
1968,"Lion in Winter, THe",Drama,"O'Toole, Peter","Hepburn, Katharine","Harvey, Anthony"
1991,"Sea of Grass, The",Western,"Tracy, Spencer","Hepburn, Katharine","Kazan, Elia"
1967,Guess Who's Coming to Dinner,Drama,"Tracy, Spencer","Hepburn, Katharine","Kramer, Stanley"
1957,Desk Set,Comedy,"Tracy, Spencer","Hepburn, Katharine","Lang, Walter"
1975,Rooster Cogburn,Western,"Wayne, John","Hepburn, Katharine","Miller, Stuart"
1981,On Golden Pond,Drama,"Fonda, Henry","Hepburn, Katharine","Rydell, Mark"
1991,Adam's Rib,Comedy,"Tracy, Spencer","Hepburn, Katharine",
1991,Boom Town,Drama,"Tracy, Spencer","Hepburn, Katharine",
1991,Dragon Seed,Drama,"Tracy, Spencer","Hepburn, Katharine",
1991,Little Women,Drama,"Tracy, Spencer","Hepburn, Katharine",
1991,"Philadelphia Story, The",Comedy,"Tracy, Spencer","Hepburn, Katharine",
1991,Without Love,Comedy,"Tracy, Spencer","Hepburn, Katharine",
1991,Woman of the Year,Comedy,"Tracy, Spencer","Hepburn, Katharine",
1992,Juice,Drama,"Shakur, Tupac","Herron, Cindy","Dickerson, Ernest R."
1986,Hoosiers,Drama,"Hackman, Gene","Hershey, Barbara","Anspaugh, David"
1987,Tin Men,Comedy,"Dreyfuss, Richard","Hershey, Barbara","Levinson, Barry"
1988,"Last Temptation of Christ, The",Drama,"Dafoe, Willem","Hershey, Barbara","Scorsese, Martin"
1991,Paris Trout,Drama,"Hopper, Dennis","Hershey, Barbara",
1988,Souvenir,Drama,"Plummer, Christopher","Hicks, Catherine","Reeve, Geoffrey"
1966,A Man for All Seasons,Drama,"Shaw, Robert","Hiller, Wendy","Zinnemann, Fred"
1986,Knights & Emeralds,Drama,"Leadbitter, Bill","Hills, Beverly","Emes, Ian"
1989,Masque of the Red Death,Horror,"MacNee, Patrick","Hoak, Clare","Brand, Larry"
1943,"Adventures of Smilin' Jack, The",Mystery,"Brown, Tom","Hobart, Rose","Taylor, Ray"
1992,Adventures in Dinosaur City,Action,"Katz, Omri","Hoffman, Shawn","Thompson, Brett"
1987,"Allnighter, The",Comedy,"Terlesky, John","Hoffs, Susanna","Hoffs, Tamar Simon"
1980,Caddyshack,Comedy,"Chase, Chevy","Holcomb, Sarah","Ramis, Harold"
1973,Tom Sawyer,Music,"Whitaker, Johnny","Holm, Celeste","Taylor, Don"
1987,"Rita, Sue & Bob Too",Comedy,"Finneran, Siohban","Holmes, Michelle","Clarke, Alan"
1947,Hawk of Powder River,Western,"Dean, Eddie","Holt, Jennifer","Taylor, Ray"
1928,Tempest,Drama,"Barrymore, John","Horn, Camilla","Taylor, Sam"
1986,Running Mates,Drama,"Webb, Greg","Howard, Barbara","Neff, Thomas L."
1987,Prettykill,Drama,"Birney, David","Hubley, Season","Kaczender, George"
1934,Judge Priest,Drama,"Rogers, Will","Hudson, Rochelle","Ford, John"
1950,Harvey,Comedy,"Stewart, James","Hull, Josephine","Koster, Henry"
1991,If Looks Could Kill,Action,"Grieco, Richard","Hunt, Linda","Wilmington, Michael"
1987,Raising Arizona,Comedy,"Cage, Nicolas","Hunter, Holly","Coen, Joel"
1989,Once Around,Comedy,"Dreyfuss, Richard","Hunter, Holly","Hallström, Lasse"
1980,Loulou,Drama,"Depardieu, Gérard","Huppert, Isabelle","Pialat, Maurice"
1982,"World According to Garp, The",Drama,"Williams, Robin","Hurt, Mary Beth","Hill, George Roy"
1980,Virus,Science Fiction,"Kennedy, George","Hussey, Olivia","Fukasaku, Kinji"
1940,Northwest Passage,Action,"Tracy, Spencer","Hussey, Ruth","Vidor, King"
1987,Gardens of Stone,Drama,"Caan, James","Huston, Anjelica","Coppola, Francis Ford"
1989,"Enemies, a Love Story",Drama,"Silver, Ron","Huston, Anjelica","Mazursky, Paul"
1992,"Addams Family, The",Comedy,"Julia, Raul","Huston, Anjelica","Sonnenfeld, B."
1932,Freaks,Horror,"Ford, Wallace","Hyams, Leila","Browning, Tod"
1991,Necessary Roughness,Comedy,"Bakula, Scott","Ireland, Kathy","Dragoti, Stan"
1990,A Show of Force,Drama,"Garcia, Andy","Irving, Amy","Barreto, Bruno"
1980,"Competition, The",Drama,"Dreyfuss, Richard","Irving, Amy","Oliansky, Joel"
1988,Crossing Delancey,Comedy,"Riegert, Peter","Irving, Amy","Silver, Joan Micklin"
1982,"State of Things, The",Drama,"Kime, Jeffrey",Isabelle Weingarten.,"Wenders, Wim"
1987,Business As Usual,Comedy,"Thaw, John","Jackson, Glenda","Barrett, Lezli-An"
1973,A Touch of Class,Comedy,"Segal, George","Jackson, Glenda","Frank, Melvin"
1970,Women in Love.,Drama,"Bates, Alan","Jackson, Glenda","Russell, Ken"
1988,Salome's Last Dance,Comedy,"Johns, Stratford","Jackson, Glenda","Russell, Ken"
1986,Casino,Mystery,"Connors, Mike","Jackson, Sherry","Chaffey, Don"
1955,Smiles of a Summer Night,Comedy,"Björnstrand, Gunnar","Jacobsson, Ulla","Bergman, Ingmar"
1989,New Year's Day,Comedy,"Jaglom, Henry","Jakobsen, Maggie","Jaglom, Henry"
1981,Mephisto,Drama,"Brandauer, Klaus Maria","Janda, Krystyna","Szabó, István"
1927,Easy Virtue,Mystery,"Dyall, Franklin","Jeans, Isabel","Hitchcock, Alfred"
1937,Swing It Sailor!,Comedy,"Ford, Wallace","Jewell, Isabel",
1991,Strictly Business,Comedy,"Davidson, Tommy","Johnson, Anne-Marie","Hooks, Kevin"
1983,Blame It on Rio,Comedy,"Caine, Michael","Johnson, Michelle","Donen, Stanley"
1987,Straight to Hell,Action,"Hopper, Dennis","Jones, Grace","Cox, Alex"
1990,A View to a Kill,Action,"Moore, Roger","Jones, Grace",
1986,American Anthem,Drama,"Gaylord, Mitch","Jones, Janet","Magnoli, Albert"
