Year,Title,Subject,Actor,Actress,Director
1945,Blood on the Sun,Drama,"Cagney, James",,"Lloyd, Frank"
1969,Paint Your Wagon,Music,"Marvin, Lee",,"Logan, Joshua"
1964,Ensign Pulver,Comedy,"Walker, Robert, Jr.",,"Logan, Joshua"
1976,Street People,Action,"Moore, Roger",,"Lucidi, Maurizio"
1984,"Manhunt, The",Action,"Borgnine, Ernest",,"Ludman, Larry"
1987,Operation Nam,War,"Wayne, John Ethan",,"Ludman, Larry"
1944,"Fighting Seabees, The",War,"Wayne, John",,"Ludwig, Edward"
1988,Let It Rock,Drama,"Hopper, Dennis",,"Lynch, David"
1978,Eraserhead,Horror,"Nance, John",,"Lynch, David"
1955,"Ladykillers, The",Comedy,"Guinness, Alec",,"Mackendrick, Alexander"
1957,Sweet Smell of Success,Drama,"Lancaster, Burt",,"Mackendrick, Alexander"
1971,And Now for Something Completely Different,Comedy,"Cleese, John",,"MacNaughton, Ian"
1984,Crackers,Action,"Sutherland, Donald",,"Malle, Louis"
1991,Green Glove,Drama,"Ford, Glenn",,"Mate, Rudolph"
1970,Menace on the Mountain,Action,"Crowley, Pat",,"McEveety, Vincent"
1940,In Old California,Western,"Wayne, John",,"McGann, William"
1967,"Thirty Is a Dangerous Age, Cynthia",Comedy,"Moore, Dudley",,"McGrath, Joseph"
1980,Ffolkes,Action,"Moore, Roger",,"McLaglen, Andrew V."
1970,Chisum,Western,"Wayne, John",,"McLaglen, Andrew V."
1990,"Hunt for Red October, The",Drama,"Connery, Sean",,"McTiernan, John"
1966,Closely Watched Trains,Drama,"Neckar, Vaclav",,"Menzel, Jiri"
1973,Executive Action,Drama,"Lancaster, Burt",,"Miller, David"
1942,Flying Tigers,Action,"Wayne, John",,"Miller, David"
1991,Father's Little Dividend,Comedy,"Tracy, Spencer",,"Minnelli, Vincente"
1982,An Evening with Robin Williams,Comedy,"Williams, Robin",,"Mischer, Don"
1987,Eddie Murphy Raw,Comedy,"Murphy, Eddie",,"Murphy, Eddie"
1989,Harlem Nights,Comedy,"Murphy, Eddie",,"Murphy, Eddie"
1973,Santee,Western,"Ford, Glenn",,"Nelson, Gary"
1987,"Good Father, The",Drama,"Hopkins, Anthony",,"Newell, Mike"
1971,Sometimes a Great Notion,Drama,"Newman, Paul",,"Newman, Paul"
1970,Catch Twenty-Two,Comedy,"Arkin, Alan",,"Nichols, Mike"
1988,Dark Age,Action,"Jarratt, John",,"Nicholson, Arch"
1981,Deadline,Mystery,"Newman, Barry",,"Nicholson, Arch"
1935,Mysterious Mr. Wong,Mystery,"Lugosi, Bela",,"Nigh, William"
1988,A Month in the Country,Drama,"Firth, Colin",,"O'Connor, Pat"
1990,"Prom Night III, The Last Kiss",Horror,"Conlon, Tim",,"Oliver, Ron"
1990,"Blood in, Blood Out",Drama,"Penn, Sean",,"Olmos, Edward James"
1989,"Wrong Arm of the Law, The",Comedy,"Sellers, Peter",,"Owen, Cliff"
1987,Orphans,Drama,"Finney, Albert",,"Pakula, Alan J."
1976,All the President's Men,Drama,"Redford, Robert",,"Pakula, Alan J."
1987,J-Men Forever,Action,"Bergman, Peter",,"Patterson, Richard"
1969,"Wild Bunch, The",Western,"Holden, William",,"Peckinpah, Sam"
1988,Judgement in Berlin,Drama,"Sheen, Martin",,"Penn, Leo"
1993,"Hot Line, The",Comedy,"Boyer, Charles",,"Perier, Etienne"
1988,Rocket Gibraltar,Drama,"Lancaster, Burt",,"Petrie, Daniel"
1975,"Yakuza, The",Action,"Mitchum, Robert",,"Pollack, Sydney"
1972,Jeremiah Johnson,Drama,"Redford, Robert",,"Pollack, Sydney"
1970,Burn!,Drama,"Brando, Marlon",,"Pontecorvo, Gillo"
1973,Magnum Force,Action,"Eastwood, Clint",,"Post, Ted"
1989,Cyborg,Action,"Van Damme, Jean-Claude",,"Pyun, Albert"
1979,"Prisoner of Zenda, The",Comedy,"Sellers, Peter",,"Quine, Richard"
1983,Scream,Horror,"Martin, Pepper",,"Quisenberry, Byron"
1986,"Assault, The",Drama,"Lint, Derek De",,"Rademakers, Fons"
1951,Flying Leathernecks,Action,"Wayne, John",,"Ray, Nicholas"
1985,What Comes Around,Drama,"Reed, Jerry",,"Reed, Jerry"
1980,Mon Oncle D'Amerique,Comedy,Roger-Pierre,,"Resnais, Alain"
1972,"Culpepper Cattle Company, The",Western,"Grimes, Gary",,"Richards, Dick"
1983,"Survivors, The",Comedy,"Matthau, Walter",,"Ritchie, Michael"
1984,Roadhouse Sixty-Six,Action,"Dafoe, Willem",,"Robinson, John Mark"
1991,"Burning Poles, Cecil Taylor in Performance",Music,"Taylor, Cecil",,"Rochlin, Sheldon"
1987,Russkies,Action,"Hubley, Whip",,"Rosenthal, Rick"
1990,My Blue Heaven,Comedy,"Martin, Steve",,"Ross, Herbert"
1990,Altered States,Science Fiction,"Hurt, William",,"Russell, Ken"
1972,"Cowboys, The",Western,"Wayne, John",,"Rydell, Mark"
1985,"Code Name, Emerald",Drama,"Harris, Ed",,"Sanger, Jonathan"
1970,Patton,War,"Scott, George C.",,"Schaffner, Franklin J."
1969,Midnight Cowboy,Drama,"Hoffman, Dustin",,"Schlesinger, John"
1985,"Falcon & the Snowman, The",Drama,"Hutton, Timothy",,"Schlesinger, John"
1976,Maitresse,Drama,"Ogier, Bulle",,"Schroeder, Barbet"
1987,Disorderlies,Comedy,"Boys, The Fat",,"Schultz, Michael"
1991,Raging Bull,Drama,"De Niro, Robert",,"Scorsese, Martin"
1991,Garrison Keillor's Home,Comedy,"Keillor, Garrison",,"Sevush, Herb"
1938,Overland Stage Raiders,Western,"Wayne, John",,"Sherman, George"
1938,Pals of the Saddle,Western,"Wayne, John",,"Sherman, George"
1982,Alone in the Dark,Horror,"Schultz, Dwight",,"Sholder, Jack"
1971,"Beguiled, The",Drama,"Eastwood, Clint",,"Siegel, Don"
1979,Escape from Alcatraz,Drama,"Eastwood, Clint",,"Siegel, Don"
1948,Criss Cross,Drama,"Lancaster, Burt",,"Siodmak, Robert"
1976,Midway,War,"Heston, Charlton",,"Smight, Jack"
1990,Indiana Jones & the Last Crusade,Action,"Ford, Harrison",,"Spielberg, Steven"
1993,Duel,Mystery,"Weaver, Dennis",,"Spielberg, Steven"
1991,Separate but Equal,Drama,"Poitier, Sidney",,"Stevens, George, Jr."
1924,Gosta Berling's Saga,Drama,"Hanson, Lars",,"Stiller, Mauritz"
1986,Platoon,Drama,"Sheen, Charlie",,"Stone, Oliver"
1963,"Crawling Hand, The",Science Fiction,"Breck, Peter",,"Strock, Herbert L."
1971,Willy Wonka & the Chocolate Factory,Music,"Wilder, Gene",,"Stuart, Mel"
1971,Joe Kidd,Western,"Eastwood, Clint",,"Sturges, John"
